tool,th,th_class
phastCons17way_primate,0.83,above
phastCons17way_primate,0.89,above
phastCons17way_primate,0.94,above
phastCons17way_primate,1,above
SiPhy_29way_logOdds,0.2,above
SiPhy_29way_logOdds,1.36,above
SiPhy_29way_logOdds,2.52,above
SiPhy_29way_logOdds,3.68,above
SiPhy_29way_logOdds,4.83,above
SiPhy_29way_logOdds,5.99,above
SiPhy_29way_logOdds,7.15,above
SiPhy_29way_logOdds,8.31,above
SiPhy_29way_logOdds,9.47,above
SiPhy_29way_logOdds,10.62,above
SiPhy_29way_logOdds,11.78,above
SiPhy_29way_logOdds,12.94,above
SiPhy_29way_logOdds,14.1,above
SiPhy_29way_logOdds,15.26,above
SiPhy_29way_logOdds,16.42,above
SiPhy_29way_logOdds,17.58,above
SiPhy_29way_logOdds,18.73,above
SiPhy_29way_logOdds,19.89,above
SiPhy_29way_logOdds,21.05,above
Eigen-phred_coding,0,above
Eigen-phred_coding,0.98,above
Eigen-phred_coding,1.96,above
Eigen-phred_coding,2.93,above
Eigen-phred_coding,3.91,above
Eigen-phred_coding,4.89,above
Eigen-phred_coding,5.87,above
Eigen-phred_coding,6.85,above
Eigen-phred_coding,7.83,above
Eigen-phred_coding,8.8,above
Eigen-phred_coding,9.78,above
Eigen-phred_coding,10.76,above
Eigen-phred_coding,11.74,above
Eigen-phred_coding,12.72,above
Eigen-phred_coding,13.7,above
Eigen-phred_coding,14.67,above
Eigen-phred_coding,15.65,above
Eigen-phred_coding,16.63,above
Eigen-phred_coding,17.61,above
